surface,reading,reading_seion,reading_search,count_hira
畳,たとー,たとー,とー,3
パルティータ,ぱるてぃーた,はるてぃーた,ーた,6
ハゼウルシ,はぜうるし,はぜうるし,るし,5
オシログラフ,おしろぐらふ,おしろくらふ,らふ,6
初子,はつね,はつね,つね,3
初子,ういご,ういこ,いこ,3
初子,はつご,はつこ,つこ,3
進退伺,しんたいうかがい,しんたいうかかい,かい,8
花言葉,はなことば,はなことは,とは,5
クローフォード,くろーふぉーど,くろーふぉーと,ーと,7
等比,とーひ,とーひ,ーひ,3
取り得,とりどく,とりとく,とく,4
入試,にゅーし,にゅーし,ーし,4
随意筋,ずいいきん,すいいきん,きん,5
冠付,かむりずけ,かむりすけ,すけ,5
初値,はつね,はつね,つね,3
剣呑,けんのん,けんのん,のん,4
鉄柱,てっちゅー,てっちゅー,ゅー,5
関口,せきぐち,せきくち,くち,4
手道具,てどーぐ,てとーく,ーく,4
共寝,ともね,ともね,もね,3
他生,たしょー,たしょー,ょー,4
荒唐,こーとー,こーとー,とー,4
門徒,もんと,もんと,んと,3
神明,しんめい,しんめい,めい,4
足ぶみ,あしぶみ,あしふみ,ふみ,4
ショート,しょーと,しょーと,ーと,4
人待ち顔,ひとまちがお,ひとまちかお,かお,6
和気,わき,わき,わき,2
倭語,わご,わこ,わこ,2
変幻,へんげん,へんけん,けん,4
当世風,とーせいふー,とーせいふー,ふー,6
三宝荒神,さんぼーこーじん,さんほーこーしん,しん,8
つづら,つずら,つすら,すら,3
げろ,げろ,けろ,けろ,2
欲目,よくめ,よくめ,くめ,3
帯紙,おびがみ,おひかみ,かみ,4
ホチキス,ほちきす,ほちきす,きす,4
パリティチェック,ぱりてぃちぇっく,はりてぃちぇっく,っく,8
人心,じんしん,しんしん,しん,4
人心,ひとごころ,ひとこころ,ころ,5
鼻息,はないき,はないき,いき,4
先潜り,さきくぐり,さきくくり,くり,5
カンバス,かんばす,かんはす,はす,4
同年代,どーねんだい,とーねんたい,たい,6
芸林,げいりん,けいりん,りん,4
実業,じつぎょー,しつきょー,ょー,5
胸焼け,むねやけ,むねやけ,やけ,4
鯡,にしん,にしん,しん,3
六朝,りくちょー,りくちょー,ょー,5
種皮,しゅひ,しゅひ,ゅひ,3
糸偏,いとへん,いとへん,へん,4
大正琴,たいしょーごと,たいしょーこと,こと,7
貰い食い,もらいぐい,もらいくい,くい,5
悲報,ひほー,ひほー,ほー,3
裳層,ひさし,ひさし,さし,3
多神教,たしんきょー,たしんきょー,ょー,6
俳聖,はいせい,はいせい,せい,4
ねぎ,ねぎ,ねき,ねき,2
大立者,おーだてもの,おーたてもの,もの,6
広壮,こーそー,こーそー,そー,4
受口,うけぐち,うけくち,くち,4
堺,さかい,さかい,かい,3
あとがき,あとがき,あとかき,かき,4
尚早,しょーそー,しょーそー,そー,5
行灯袴,あんどんばかま,あんとんはかま,かま,7
弟,おとーと,おとーと,ーと,4
淫乱,いんらん,いんらん,らん,4
ラウティング,らうてぃんぐ,らうてぃんく,んく,6
炒飯,ちゃーはん,ちゃーはん,はん,5
トレー,とれー,とれー,れー,3
口触り,くちざわり,くちさわり,わり,5
界隈,かいわい,かいわい,わい,4
小糠雨,こぬかあめ,こぬかあめ,あめ,5
村民,そんみん,そんみん,みん,4
カボチャ,かぼちゃ,かほちゃ,ちゃ,4
捌け,はけ,はけ,はけ,2
格子戸,こーしど,こーしと,しと,4
不浄役人,ふじょーやくにん,ふしょーやくにん,にん,8
八紘,はっこー,はっこー,こー,4
荒れ性,あれしょー,あれしょー,ょー,5
菜種油,なたねあぶら,なたねあふら,ふら,6
とばくち,とばくち,とはくち,くち,4
思い差し,おもいざし,おもいさし,さし,5
小倉,おぐら,おくら,くら,3
ここいら,ここいら,ここいら,いら,4
顔負け,かおまけ,かおまけ,まけ,4
ヒヨドリ,ひよどり,ひよとり,とり,4
缶詰め,かんずめ,かんすめ,すめ,4
巻き尺,まきじゃく,まきしゃく,ゃく,5
タコメーター,たこめーたー,たこめーたー,たー,6
一匹狼,いっぴきおーかみ,いっひきおーかみ,かみ,8
練り製品,ねりせいひん,ねりせいひん,ひん,6
雪見灯篭,ゆきみどーろー,ゆきみとーろー,ろー,7
頬骨,ほーぼね,ほーほね,ほね,4
炒りまめ,いりまめ,いりまめ,まめ,4
気質,きしつ,きしつ,しつ,3
気質,かたぎ,かたき,たき,3
茶入,ちゃいれ,ちゃいれ,いれ,4
雪盲,せつもー,せつもー,もー,4
田楽刺,でんがくざし,てんかくさし,さし,6
稲穂,いなほ,いなほ,なほ,3
剛毅,ごーき,こーき,ーき,3
おつき,おつき,おつき,つき,3
ガードレール,がーどれーる,かーとれーる,ーる,6
いかん,いかん,いかん,かん,3
囚役,しゅーえき,しゅーえき,えき,5
国鳥,こくちょー,こくちょー,ょー,5
左肩,ひだりかた,ひたりかた,かた,5
オキアミ,おきあみ,おきあみ,あみ,4
お礼参り,おれいまいり,おれいまいり,いり,6
袴能,はかまのー,はかまのー,のー,5
手活け,ていけ,ていけ,いけ,3
世論,せろん,せろん,ろん,3
世論,よろん,よろん,ろん,3
太々神楽,だいだいかぐら,たいたいかくら,くら,7
未決監,みけつかん,みけつかん,かん,5
レター,れたー,れたー,たー,3
